Layer#,DLYER,SAT,DUL,LL,ADRY,iWL,DRAINF,FG,BDL,NORG,FMIN,iNSOL
<-- SoilRowNo,,,,,,,,,,,,
Code,Description:,,,,,,,,,,,
Albany_MO,,,,,,,,,,,,
NLYER,LDRAIN,SALB,U,CN2,,,,,,,,
10,0,0.13,6,72,,,,,,,,
1,200,0.52251048205149,0.36800751142749,0.16033378648,0.08016689324,0.36800751142749,0.7,0,1.26534722256355,1.74418604651163,0.1,
2,200,0.52251048205149,0.36800751142749,0.16033378648,0.08016689324,0.36800751142749,0.7,0,1.26534722256355,1.74418604651163,0.1,
3,200,0.465165537209569,0.365499490257569,0.17767547104,0.17767547104,0.365499490257569,0.7,0,1.41731132639464,0.436046511627907,0.1,
4,200,0.465165537209569,0.365499490257569,0.17767547104,0.17767547104,0.365499490257569,0.7,0,1.41731132639464,0.436046511627907,0.1,
5,200,0.499707877586371,0.409211527386371,0.251560084,0.251560084,0.409211527386371,0.7,0,1.32577412439612,0.145348837209302,0.1,
6,200,0.499707877586371,0.409211527386371,0.251560084,0.251560084,0.409211527386371,0.7,0,1.32577412439612,0.145348837209302,0.1,
7,200,0.499707877586371,0.409211527386371,0.251560084,0.251560084,0.409211527386371,0.7,0,1.32577412439612,0.145348837209302,0.1,
8,200,0.465838437655238,0.377665869503238,0.19736709004,0.19736709004,0.377665869503238,0.7,0,1.41552814021362,0.145348837209302,0.1,
9,200,0.465838437655238,0.377665869503238,0.19736709004,0.19736709004,0.377665869503238,0.7,0,1.41552814021362,0.145348837209302,0.1,
10,200,0.465838437655238,0.377665869503238,0.19736709004,0.19736709004,0.377665869503238,0.7,0,1.41552814021362,0.145348837209302,0.1,
