Layer#,DLYER,SAT,DUL,LL,ADRY,iWL,DRAINF,FG,BDL,NORG,FMIN,iNSOL
<-- SoilRowNo,,,,,,,,,,,,
Code,Description:,,,,,,,,,,,
Marianna_AR,,,,,,,,,,,,
NLYER,LDRAIN,SALB,U,CN2,,,,,,,,
10,0,0.13,6,72,,,,,,,,
1,200,0.442766814453211,0.321941042853211,0.098411857,0.0492059285,0.321941042853211,0.7,0,1.47666794169899,0.726744186046512,0.1,
2,200,0.440565113071721,0.338955439071721,0.128941855,0.128941855,0.338955439071721,0.7,0,1.48250245035994,0.436046511627907,0.1,
3,200,0.440565113071721,0.338955439071721,0.128941855,0.128941855,0.338955439071721,0.7,0,1.48250245035994,0.436046511627907,0.1,
4,200,0.4420242593923,0.3425510113923,0.15523567,0.15523567,0.3425510113923,0.7,0,1.4786357126104,0.290697674418605,0.1,
5,200,0.4420242593923,0.3425510113923,0.15523567,0.15523567,0.3425510113923,0.7,0,1.4786357126104,0.290697674418605,0.1,
6,200,0.422200145091923,0.330181599091923,0.13971799,0.13971799,0.330181599091923,0.7,0,1.5311696155064,0.0581395348837209,0.1,
7,200,0.422200145091923,0.330181599091923,0.13971799,0.13971799,0.330181599091923,0.7,0,1.5311696155064,0.0581395348837209,0.1,
8,200,0.422200145091923,0.330181599091923,0.13971799,0.13971799,0.330181599091923,0.7,0,1.5311696155064,0.0581395348837209,0.1,
9,200,0.410421094043021,0.326746144043021,0.11239219,0.11239219,0.326746144043021,0.7,0,1.562384100786,0.0581395348837209,0.1,
10,200,0.410421094043021,0.326746144043021,0.11239219,0.11239219,0.326746144043021,0.7,0,1.562384100786,0.0581395348837209,0.1,
