"sName","Location","Manag","Soil","Crop","Pyear","Pdoy","dtEMR","R0","R1","R2","R3","R4","R5","R6","R7","R8","MSNN","MXLAI","R5ANTDM","WTOP","WGRN","HI","IPASW","CRAIN","CIRGW","IRGNO","ATSWSL","CRUNOF","CE","CTR","CDRAIN","ET","EoverET","NLF","NST","NVEG","NGRN","CNUP","CUMBNF","ISOLN","CNFERT","CNMIN","CNSOL","CNVOL","CNLEACH","CNDNIT","MATYP","SRAINT","MTMINT","MTMAXT","SSRADT","SUMETT","SRAIN2","MTMIN2","MTMAX2","SSRAD2","SUMET2","SRAIN3","MTMIN3","MTMAX3","SSRAD3","SUMET3","Ywet"
"MA-RFD-ELY-check","Marianna","AR-RFD-ELY","Soil_23","Soybean-MG4",1990,115,6,-9,65,-9,80,-9,95,-9,132,143,29.268234420034,7.57470077270542,796.877208222317,855.080088174508,232.132005187286,0.271473992199794,403.657154428613,534.15,0,0,216.727648230387,93.267641295125,187.251091061328,372.174070699504,58.2993816747266,559.425161760832,0.334720537903482,0,0,0,0,0,0,0,0,0,0,0,0,0,1,534.15,18.0380281690141,30.8584507042254,3001.23,556.851986252161,464.56,17.2191489361702,29.7095744680851,2021.15,492.325733723507,69.59,19.6416666666667,33.1083333333333,980.08,64.5262525286541,2668.18396766995
"MA-RFD-ELY-check","Marianna","AR-RFD-ELY","Soil_23","Soybean-MG4",1991,115,7,-9,57,-9,74,-9,87,-9,130,143,28.4990937047895,8.3233903769193,694.970079389696,780.111831907494,230.809968409084,0.295867796088566,403.657154428613,559.07,0,0,240.124589532344,99.6605887562168,184.926070187834,321.846467770919,108.571203079102,506.772537958753,0.364909414651204,0,0,0,0,0,0,0,0,0,0,0,0,0,1,559.07,18.8739436619718,31.2683098591549,2971.67,504.395425196736,419.6,19.1162790697674,30.3837209302326,1836.84,427.301224730545,139.47,18.5017857142857,32.6267857142857,1134.83,77.0942004661919,2652.98814263315
"MA-RFD-ELY-check","Marianna","AR-RFD-ELY","Soil_23","Soybean-MG4",1992,115,10,-9,69,-9,86,-9,99,-9,143,160,28.6095787763542,10.9116178508456,989.849260166805,1219.61889146095,404.299301648527,0.331496424398795,403.657154428613,617.21,0,0,246.120132000744,86.4567132631961,149.810044635742,514.44122020942,15.6349773008158,664.251264845162,0.225532193259222,0,0,0,0,0,0,0,0,0,0,0,0,0,1,617.21,15.9364779874214,28.9779874213836,3220.93,662.079444112524,483.36,16.3867346938775,29.1724489795918,2115,518.914833913009,133.85,15.2131147540984,28.6655737704918,1105.93,143.164610199515,4647.11840975319
"MA-RFD-ELY-check","Marianna","AR-RFD-ELY","Soil_23","Soybean-MG4",1993,115,8,-9,62,-9,77,-9,90,-9,129,145,28.5471512731133,7.07805380635265,618.945385814414,754.536198825967,246.816925412229,0.32711078116102,403.657154428613,433.59,0,0,265.697194345806,30.117793827616,183.934131636758,300.582737273196,48.6448359893933,484.516868909954,0.379623793183022,0,0,0,0,0,0,0,0,0,0,0,0,0,1,431.3,19.3680555555556,30.8166666666666,3058.73,483.742034163391,278.88,18.838202247191,29.6595505617978,1951.26,389.248234788101,152.42,20.2254545454545,32.6890909090909,1107.47,94.4937993752898,2836.97615416355
"MA-RFD-ELY-check","Marianna","AR-RFD-ELY","Soil_23","Soybean-MG4",1994,115,5,-9,60,-9,78,-9,96,-9,137,150,28.6983892487537,10.9797334299934,1128.84929700718,1291.03693931478,398.026425122889,0.308299796080306,403.657154428613,564.35,0,0,217.424587609207,74.698224038741,151.75822527403,493.936569183013,20.703346586105,645.694794457042,0.235030894745932,0,0,0,0,0,0,0,0,0,0,0,0,0,1,564.35,18.2637583892617,29.9,3197.46,643.689449084286,482.56,18.6842105263158,29.6105263157895,2087.21,526.501616401576,81.79,17.5240740740741,30.4092592592593,1110.25,117.18783268271,4575.01638072286
"MA-RFD-ELY-check","Marianna","AR-RFD-ELY","Soil_23","Soybean-MG4",1995,115,10,-9,64,-9,82,-9,94,-9,131,143,29.0574209979135,10.0012967966232,846.899121207384,910.289138610347,246.928501807284,0.271263812050143,403.657154428613,331.7,0,0,199.252681598099,13.5887208082167,163.867953011865,332.864905032649,18.0962885656086,496.732858044515,0.329891510815217,0,0,0,0,0,0,0,0,0,0,0,0,0,1,331.7,19.2654929577465,30.0345070422535,3056.59,494.406687601454,290.81,18.3204301075269,28.7236559139785,2029.08,433.763499779424,40.89,21.0591836734694,32.5224489795918,1027.51,60.64318782203,2838.25864146303
"MA-RFD-ELY-check","Marianna","AR-RFD-ELY","Soil_23","Soybean-MG4",1996,115,9,-9,60,-9,76,-9,91,-9,134,150,27.9231589675466,9.96709313165051,939.558710163435,1180.87609705633,422.265463302825,0.357586595541599,403.657154428613,567.19,0,0,293.421213301789,81.1611464306818,159.751953254335,421.536550964204,7.75116637250256,581.288504218539,0.274823864733226,0,0,0,0,0,0,0,0,0,0,0,0,0,1,539.76,19.3724832214765,29.7530201342282,3167.68,578.356070781098,349,19.4166666666667,29.69,2037.21,449.410816319011,190.76,19.3050847457627,29.8491525423729,1130.47,128.945254462086,4853.62601497499
"MA-RFD-ELY-check","Marianna","AR-RFD-ELY","Soil_23","Soybean-MG4",1997,115,10,-9,70,-9,86,-9,99,-9,137,148,28.8962934900578,10.9448970850293,979.865574357994,1110.17587718558,342.791002913112,0.308771799097388,403.657154428613,488.94,0,0,192.748578739711,58.1622708441176,167.635809909205,408.405041088534,59.5417733928573,576.040850997739,0.291013752963612,0,0,0,0,0,0,0,0,0,0,0,0,0,1,488.94,18.3714285714286,29.4027210884354,3179.25,574.736869258445,423.14,17.9918367346939,28.5704081632653,2197.12,475.921343505208,65.8,19.130612244898,31.0673469387755,982.13,98.8155257532365,3940.12647026565
"MA-RFD-ELY-check","Marianna","AR-RFD-ELY","Soil_23","Soybean-MG4",1998,115,8,-9,55,-9,69,-9,85,-9,126,136,27.8202813340705,5.81614957330991,628.608028746925,736.994014423171,239.562688663966,0.325053777881041,403.657154428613,257.03,0,0,199.499585933251,14.666796268875,111.331354287655,285.475490710781,40.5033490555393,396.806844998436,0.280568129534393,0,0,0,0,0,0,0,0,0,0,0,0,0,1,257.03,21.197037037037,31.9459259259259,3060.25,394.219832568721,202.93,20.7071428571429,31.1261904761905,1951,315.493797959826,54.1,22.0039215686275,33.2960784313725,1109.25,78.7260346088945,2753.59412257432
"MA-RFD-ELY-check","Marianna","AR-RFD-ELY","Soil_23","Soybean-MG4",1999,115,7,-9,59,-9,77,-9,93,-9,130,140,28.6451789312639,10.3646020403602,997.294238233535,991.181512413226,212.287150548834,0.214175857691271,403.657154428613,378.48,0,0,187.85433340965,49.9691804932508,145.842042256682,334.84171083669,56.6589164841643,480.683753093372,0.303405391420318,0,0,0,0,0,0,0,0,0,0,0,0,0,1,361.97,19.7446043165468,30.8071942446043,3179.27,478.788568055526,345.97,19.2945652173913,29.4717391304348,2108.04,444.823110869395,16,20.6255319148936,33.4212765957447,1071.23,33.9654571861308,2440.08219021648
