"sName","Location","Manag","Soil","Crop","Pyear","Pdoy","dtEMR","R0","R1","R2","R3","R4","R5","R6","R7","R8","MSNN","MXLAI","R5ANTDM","WTOP","WGRN","HI","IPASW","CRAIN","CIRGW","IRGNO","ATSWSL","CRUNOF","CE","CTR","CDRAIN","ET","EoverET","NLF","NST","NVEG","NGRN","CNUP","CUMBNF","ISOLN","CNFERT","CNMIN","CNSOL","CNVOL","CNLEACH","CNDNIT","MATYP","SRAINT","MTMINT","MTMAXT","SSRADT","SUMETT","SRAIN2","MTMIN2","MTMAX2","SSRAD2","SUMET2","SRAIN3","MTMIN3","MTMAX3","SSRAD3","SUMET3","Ywet"
"NP-RFD-MID-check","North Platte","NE-RFD-MID","Soil_113","Soybean-MG3",1990,144,9,-9,70,-9,81,-9,92,-9,127,222,28.9560647272656,4.74144576582741,432.463682494347,438.937998825328,101.098784660969,0.230325888693907,256.794622504112,248.92,0,0,162.771700541131,7.21306411777481,128.862422314884,194.312843714379,0.965045870354186,323.175266029263,0.398738504645389,0,0,0,0,0,0,0,0,0,0,0,0,0,4,248.92,6.30904977375566,21.231221719457,3762.43,323.175266029263,156.97,14.7021978021978,29,2164.32,290.744520860167,91.95,0.433846153846154,15.7930769230769,1598.11,32.4307451690956,1162.05499610309
"NP-RFD-MID-check","North Platte","NE-RFD-MID","Soil_113","Soybean-MG3",1991,144,8,-9,69,-9,79,-9,91,-9,139,222,28.7630389252899,3.9682729177542,398.974978561702,441.130399169236,127.326672660132,0.288637266667455,263.404652616777,330.68,0,0,185.541484658412,10.0794078931094,162.581184540706,202.118671979706,22.5989244367113,364.699856520412,0.445794484516355,0,0,0,0,0,0,0,0,0,0,0,0,0,4,330.68,6.37285067873303,20.847963800905,3719.87,364.699856520412,189.48,14.6111111111111,28.9622222222222,2113.86,316.151907454281,141.2,0.71297709923664,15.2732824427481,1606.01,48.5479490661308,1463.52497310496
"NP-RFD-MID-check","North Platte","NE-RFD-MID","Soil_113","Soybean-MG3",1992,144,16,-9,85,-9,97,-9,113,-9,222,222,24.5185671073275,7.06055210749024,876.651013688179,892.759675927508,207.767787378309,0.232725326849529,252.836800519318,423.91,0,0,127.928620222711,27.5894773923414,173.888417566373,333.59135747728,4.85077180555394,507.479775043653,0.342650931362566,0,0,0,0,0,0,0,0,0,0,0,0,0,4,423.91,4.60090497737557,17.8986425339367,3397.85,507.479775043653,379.73,11.7428571428571,24.5723214285714,2311.68,468.134415577181,44.18,-2.73761467889908,11.0412844036697,1086.17,39.3453594664726,2388.135487107
"NP-RFD-MID-check","North Platte","NE-RFD-MID","Soil_113","Soybean-MG3",1993,144,9,-9,80,-9,89,-9,103,-9,222,222,25.8819428400813,6.05484745887744,772.57573178245,829.837675168037,226.314186386178,0.272721031062311,256.622221781637,520.99,0,0,175.230462994466,51.3136638833644,181.705461770655,316.138409814249,43.7027238510193,497.843871584904,0.364984831875482,0,0,0,0,0,0,0,0,0,0,0,0,0,4,520.99,5.31674208144796,18.7126696832579,3509.26,497.843871584904,404.65,13.1460784313725,26.15,2268.94,441.428866550167,116.34,-1.39411764705882,12.3378151260504,1240.32,56.4150050347368,2601.31248719745
"NP-RFD-MID-check","North Platte","NE-RFD-MID","Soil_113","Soybean-MG3",1994,144,7,-9,72,-9,82,-9,92,-9,134,222,28.6699479249913,6.02112399315903,621.673878440832,617.702470830337,132.460606224165,0.214440790638423,253.212588238887,338.57,0,0,181.490254131513,8.98629665546055,129.531900145875,260.909777214978,0,390.441677360853,0.331757360078544,0,0,0,0,0,0,0,0,0,0,0,0,0,4,338.57,6.74660633484163,21.3941176470588,3719.26,390.441677360853,223.02,14.0417582417582,29.3571428571429,2239.61,360.51307379761,115.55,1.64,15.82,1479.65,29.9286035632426,1522.53570372603
"NP-RFD-MID-check","North Platte","NE-RFD-MID","Soil_113","Soybean-MG3",1995,144,12,-9,74,-9,82,-9,92,-9,142,222,27.149889361085,3.43093299582735,323.534059302947,343.532279161864,91.0024673923628,0.26490223164585,255.46832282781,309.1,0,0,138.955871691664,20.9506419307224,169.497826083586,169.304678568707,52.7241010330151,338.802504652293,0.50028504440231,0,0,0,0,0,0,0,0,0,0,0,0,0,4,309.1,5.69276018099548,21.0027149321267,3717.62,338.802504652294,233.16,13.5307692307692,28.4428571428571,2161.51,304.605879312732,75.94,0.206153846153843,15.7946153846154,1556.11,34.1966253395611,1046.00537232601
"NP-RFD-MID-check","North Platte","NE-RFD-MID","Soil_113","Soybean-MG3",1996,144,14,-9,78,-9,89,-9,101,-9,222,222,26.4654406553983,8.07444023105213,880.517645967086,1032.63452331627,338.397030228704,0.327702611706176,263.693161918151,642.89,0,0,163.751011518746,69.1459938387333,188.79793137306,392.251036602472,82.5721890879368,581.048967975532,0.324926024790754,0,0,0,0,0,0,0,0,0,0,0,0,0,4,642.89,5.26153846153846,18.3886877828054,3522.46,581.048967975532,433.34,14.014,26.533,2221.02,447.16665509307,209.55,-1.97190082644628,11.6578512396694,1301.44,133.882312882462,3889.62103711154
"NP-RFD-MID-check","North Platte","NE-RFD-MID","Soil_113","Soybean-MG3",1997,144,12,-9,71,-9,85,-9,96,-9,138,222,27.8912787151184,6.93101247462643,645.184708103863,703.089413900419,197.287059764219,0.28060024210827,256.714201210726,458.73,0,0,163.927236198645,31.9320064814489,170.789153149792,312.442664535132,24.793949144578,483.231817684924,0.353431100559587,0,0,0,0,0,0,0,0,0,0,0,0,0,4,458.73,6.5683257918552,20.3755656108597,3653.46,483.231817684924,329.96,14.0010526315789,28.0768421052632,2204.27,419.097480141192,128.77,0.964285714285714,14.5690476190476,1449.19,64.1343375437317,2267.66735361172
"NP-RFD-MID-check","North Platte","NE-RFD-MID","Soil_113","Soybean-MG3",1998,144,7,-9,73,-9,84,-9,93,-9,127,222,28.1284206956188,6.65273905074249,578.739265624542,594.729661874559,142.410261949431,0.239453773838286,256.178036576068,380.76,0,0,181.358023027771,12.0189756947547,156.679160784587,254.653285595377,19.7132759001745,411.332446379964,0.380906398616208,0,0,0,0,0,0,0,0,0,0,0,0,0,4,380.76,7.47466063348416,21.6253393665158,3710.09,411.332446379965,252.22,14.5195652173913,28.5,2176.87,369.615778297592,128.54,2.45038759689923,16.722480620155,1533.22,41.7166680823724,1636.89956263713
"NP-RFD-MID-check","North Platte","NE-RFD-MID","Soil_113","Soybean-MG3",1999,144,8,-9,69,-9,82,-9,94,-9,167,222,28.0720091496554,6.68017544244675,645.960300788896,672.875890029179,162.94540643543,0.242162646707946,252.072508919092,351.3,0,0,101.997114194192,23.6601819822436,180.296060956053,285.235565597924,0,465.531626553977,0.38729068160345,0,0,0,0,0,0,0,0,0,0,0,0,0,4,351.3,6.74705882352941,22.2081447963801,3846.72,465.531626553977,307.86,14.7451612903226,28.647311827957,2246.81,424.969802846182,43.44,0.9359375,17.5296875,1599.91,40.5618237077951,1872.93570615437
"NP-RFD-MID-check","North Platte","NE-RFD-MID","Soil_113","Soybean-MG3",2000,144,7,-9,68,-9,77,-9,86,-9,119,222,28.6523016189734,4.59356102228056,407.393786445799,419.000373605623,100.823352827923,0.240628312476927,255.566361578421,326.12,0,0,222.424299859117,26.3767789531398,102.267948096836,214.908548245943,3.16287292800359,317.176496342779,0.322432302759006,0,0,0,0,0,0,0,0,0,0,0,0,0,4,326.12,5.7683257918552,20.6303167420815,3776.86,317.176496342779,141.47,14.5788235294118,31.0576470588235,2101.21,279.438157738143,184.65,0.261764705882354,14.1132352941176,1675.65,37.7383386046363,1158.88911296463
"NP-RFD-MID-check","North Platte","NE-RFD-MID","Soil_113","Soybean-MG3",2001,144,13,-9,69,-9,78,-9,91,-9,158,222,28.5399508533239,5.67876404700359,514.467418081314,629.920997627212,223.769117469192,0.355233621854307,256.185671997763,365.72,0,0,153.031753249659,6.65490206566853,147.456736735844,299.577108149853,1.31848245507567,447.033844885697,0.329855867565347,0,0,0,0,0,0,0,0,0,0,0,0,0,4,365.72,7.0656108597285,21.8425339366516,3829.31,447.033844885698,229.08,14.7711111111111,29.4266666666667,2181.04,360.872627533715,136.64,1.77175572519084,16.6320610687023,1648.27,86.1612173519829,2572.05882148497
"NP-RFD-MID-check","North Platte","NE-RFD-MID","Soil_113","Soybean-MG3",2002,144,8,-9,62,-9,72,-9,83,-9,124,222,30.4546146500654,3.03469050245005,257.026040633573,282.826382067299,81.9769763705883,0.289849114397969,257.70835177597,167.1,0,0,160.225456243609,0.676241574220988,96.4965216707305,152.914696882996,0.784104898567764,249.411218553727,0.386897278439558,0,0,0,0,0,0,0,0,0,0,0,0,0,4,167.1,6.85520361990949,21.8085972850679,3875.02,249.411218553726,68.06,15.8024390243902,32.1365853658537,2140.42,212.085165632493,99.04,1.57697841726619,15.7158273381295,1734.6,37.3260529212337,942.264096213658
